"OBJECTIDC","OBJECTVERSIONC","LASTUSERC","UPDATETIMEC","NUM_DECIMAL_DIGITS","TEXT_DE","TEXT_EN","TEXT_ES","START_DATE","END_DATE","FXTYPE"
"KYD",0,"sysadmin",01.01.70 00:00:00,2,"Kaiman-Dollar","Cayman Islands Dollar","Dólar caimano (de Islas Caimán)",01.01.70 00:00:00,,"M"
"CUP",0,"sysadmin",01.01.70 00:00:00,2,"Kubanischer Peso","Cuban Peso","Peso cubano",01.01.70 00:00:00,,"M"
"ISK",2,"Stich.L",07.09.10 13:18:47,2,"Isländische Krone","Iceland Krona","Króna islandesa",01.01.70 00:00:00,,"D"
"NIO",0,"sysadmin",01.01.70 00:00:00,2,"Córdoba Oro","Cordoba","Córdoba nicaragüense",01.01.70 00:00:00,,"D"
"TZS",0,"sysadmin",01.01.70 00:00:00,2,"Tansania-Schilling","Tanzanian Shilling","Chelín tanzano",01.01.70 00:00:00,,"D"
"PEN",0,"sysadmin",01.01.70 00:00:00,2,"Neuer Sol","Nuevo Sol","Nuevo sol peruano",01.01.70 00:00:00,,"D"
"KES",0,"sysadmin",01.01.70 00:00:00,2,"Kenia-Schilling","Kenyan Shilling","Chelín keniata",01.01.70 00:00:00,,"D"
"HUF",0,"sysadmin",01.01.70 00:00:00,2,"Forint","Forint","Forint húngaro",01.01.70 00:00:00,,"D"
"MKD",0,"sysadmin",01.01.70 00:00:00,2,"Denar","Denar","Denar macedonio",01.01.70 00:00:00,,"M"
"EGP",0,"sysadmin",01.01.70 00:00:00,2,"Ägyptisches Pfund","Egyptian Pound","Libra egipcia",01.01.70 00:00:00,,"D"
"GMD",0,"sysadmin",01.01.70 00:00:00,2,"Dalasi","Dalasi","Dalasi gambiano",01.01.70 00:00:00,,"M"
"HKD",0,"sysadmin",01.01.70 00:00:00,2,"Hongkong-Dollar","Hong Kong Dollar","Dólar de Hong Kong",01.01.70 00:00:00,,"D"
"JPY",1,"0;C8GW;nEb",20.09.10 11:21:27,2,"Yen","Yen","Yen japonés",01.01.70 00:00:00,,"D"
"BMD",0,"sysadmin",01.01.70 00:00:00,2,"Bermuda-Dollar","Bermudian Dollar","Dólar de Bermuda",01.01.70 00:00:00,,"M"
"MAD",0,"sysadmin",01.01.70 00:00:00,2,"Marokkanischer Dirham","Moroccan Dirham","Dirham marroquí",01.01.70 00:00:00,,"D"
"LVL",2,"Schmachten",03.02.14 08:39:58,2,"Lats","Lativian Lats","Lat letón",01.01.70 00:00:00,30.01.14 00:00:00,"M"
"MTL",1,"Schmachten",22.08.08 09:01:53,2,"Maltesische Lira (ersetzt durch EUR)","Maltese Lira (substituted by EUR)","Lira maltesa (sustituido por EUR)",01.01.70 00:00:00,31.07.08 00:00:00,"M"
"IRR",0,"sysadmin",01.01.70 00:00:00,2,"Iranischer Rial","Iranian Rial","Rial iraní",01.01.70 00:00:00,,"D"
"ZMW",1,"0;BaL8qjtI",23.01.13 14:47:08,2,"Kwacha","Kwacha","KwachaZambiano",18.01.13 00:00:00,,"D"
"SHP",0,"sysadmin",01.01.70 00:00:00,2,"St. Helena-Pfund","St. Helena Pound","Libra de Santa Helena",01.01.70 00:00:00,,"M"
"AED",0,"sysadmin",01.01.70 00:00:00,2,"Dirham","Dirham","Dirham de los Emiratos Árabes Unidos",01.01.70 00:00:00,,"D"
"CAD",0,"sysadmin",01.01.70 00:00:00,2,"Kanadischer Dollar","Canadian Dollar","Dólar canadiense",01.01.70 00:00:00,,"D"
"VUV",0,"sysadmin",01.01.70 00:00:00,0,"Vatu","Vatu","Vatu vanuatense",01.01.70 00:00:00,,"M"
"HTG",0,"sysadmin",01.01.70 00:00:00,2,"Gourde","Gourde","Gourde haitiano",01.01.70 00:00:00,,"M"
"WST",0,"sysadmin",01.01.70 00:00:00,2,"Tala","Tala","Tala samoana",01.01.70 00:00:00,,"M"
"LBP",0,"sysadmin",01.01.70 00:00:00,2,"Libanesisches Pfund","Lebanese Pound","Libra libanesa",01.01.70 00:00:00,,"M"
"GBP",0,"sysadmin",01.01.70 00:00:00,2,"Pfund Sterling","Pound Sterling","Libra esterlina (libra de Gran Bretaña)",01.01.70 00:00:00,,"D"
"ZWD",1,"0;?rbi8p]0",06.04.10 16:22:26,2,"Simbabwe-Dollar","Zimbabwe Dollar","Dólar zimbabwés",01.01.70 00:00:00,30.03.10 00:00:00,"D"
"ANG",0,"sysadmin",01.01.70 00:00:00,2,"Niederl.-Antillen-Gulden","Niederl. Antillian  Guilder","Guilder de las Antillas Holandesas",01.01.70 00:00:00,,"M"
"TOP",0,"sysadmin",01.01.70 00:00:00,2,"Pa'anga","Pa'anga","Pa'anga tongano",01.01.70 00:00:00,,"M"
"YER",0,"sysadmin",01.01.70 00:00:00,2,"Jemen-Rial","Yemeni Rial","Rial yemení (de Yemen)",01.01.70 00:00:00,,"D"
"LKR",0,"sysadmin",01.01.70 00:00:00,2,"Sri-Lanka-Rupie","Sri-Lanka Rupee","Rupia de Sri Lanka",01.01.70 00:00:00,,"D"
"KWD",0,"sysadmin",01.01.70 00:00:00,3,"Kuwait-Dinar","Kuwaiti Dinar","Dinar kuwaití",01.01.70 00:00:00,,"D"
"BBD",0,"sysadmin",01.01.70 00:00:00,2,"Barbados-Dollar","Barbados Dollar","Dólar de Barbados",01.01.70 00:00:00,,"M"
"QAR",0,"sysadmin",01.01.70 00:00:00,2,"Katar-Riyal","Qatar Riyal","Rial qatarí",01.01.70 00:00:00,,"D"
"NGN",0,"sysadmin",01.01.70 00:00:00,2,"Naira","Naira","Naira nigeriana",01.01.70 00:00:00,,"D"
"AWG",0,"sysadmin",01.01.70 00:00:00,2,"Aruba-Florin","Aruba-Guilder","Guilder de Aruba",01.01.70 00:00:00,,"M"
"SGD",0,"sysadmin",01.01.70 00:00:00,2,"Singapur-Dollar","Singapore Dollar","Dólar de Singapur",01.01.70 00:00:00,,"D"
"KMF",0,"sysadmin",01.01.70 00:00:00,0,"Komoren-Franc","Comoro Franc","Franco comoriano (de Comoras)",01.01.70 00:00:00,,"M"
"IQD",0,"sysadmin",01.01.70 00:00:00,3,"Irak-Dinar","Iraqi Dinar","Dinar iraqí",01.01.70 00:00:00,,"M"
